name	human	mouse
Voltage_gated_ion_channel	CNGB3	Cngb3
Ligand_gated_ion_channels	GLRA4	Glra4
Upper_cortical_neuron	UCHL1	Uchl1
Housekeeping	RUNDC1	Rundc1
Stress_panel	TXN	Txn1
Cell_cycle_G2M_phase	DNAJB1	Dnajb1
Cell_cycle_S_phase	DYNC1LI2	Dync1li2
Calcium_ion_channel	TPCN1	Tpcn1
Potassium_ion_channel	KCNJ2	Kcnj2
Voltage_gated_ion_channel	HCN1	Hcn1
Ligand_gated_ion_channels	GLRB	Glrb
Upper_cortical_neuron	VAMP2	Vamp2
Housekeeping	SAMD4B	Samd4b
Stress_panel	TXNRD1	Txnrd1
Cell_cycle_G2M_phase	ENTPD5	Entpd5
Cell_cycle_S_phase	E2F8	E2f8
Calcium_ion_channel	TPCN2	Tpcn2
Potassium_ion_channel	KCNJ3	Kcnj3
Voltage_gated_ion_channel	HCN2	Hcn2
Ligand_gated_ion_channels	GRIA1	Gria1
Housekeeping	SLC4A1AP	Slc4a1ap
Stress_panel	XPC	Xpc
Cell_cycle_G2M_phase	ESPL1	Espl1
Cell_cycle_S_phase	EIF4EBP2	Eif4ebp2
Potassium_ion_channel	KCNJ4	Kcnj4
Voltage_gated_ion_channel	HCN3	Hcn3
Ligand_gated_ion_channels	GRIA2	Gria2
Housekeeping	SLMAP	Slmap
Cell_cycle_G2M_phase	FADD	Fadd
Cell_cycle_S_phase	ENOSF1	NA
Potassium_ion_channel	KCNJ5	Kcnj5
Voltage_gated_ion_channel	HCN4	Hcn4
Ligand_gated_ion_channels	GRIA3	Gria3
Housekeeping	SMARCAL1	Smarcal1
Cell_cycle_G2M_phase	FAM83D	Fam83d
Cell_cycle_S_phase	ESCO2	Esco2
Potassium_ion_channel	KCNJ6	Kcnj6
Voltage_gated_ion_channel	HVCN1	Hvcn1
Ligand_gated_ion_channels	GRIA4	Gria4
Housekeeping	SNAP29	Snap29
Cell_cycle_G2M_phase	FAN1	Fan1
Cell_cycle_S_phase	EXO1	Exo1
Potassium_ion_channel	KCNJ8	Kcnj8
Voltage_gated_ion_channel	KCNA1	Kcna1
Ligand_gated_ion_channels	GRID1	Grid1
Housekeeping	SNRNP200	Snrnp200
Cell_cycle_G2M_phase	FANCD2	Fancd2
Cell_cycle_S_phase	EZH2	Ezh2
Potassium_ion_channel	KCNJ9	Kcnj9
Voltage_gated_ion_channel	KCNA10	Kcna10
Ligand_gated_ion_channels	GRID2	Grid2
Housekeeping	SNRPD3	Snrpd3
Cell_cycle_G2M_phase	G2E3	G2e3
Cell_cycle_S_phase	FAM178A	NA
Potassium_ion_channel	KCNK1	Kcnk1
Voltage_gated_ion_channel	KCNA2	Kcna2
Ligand_gated_ion_channels	GRIK1	Grik1
Housekeeping	SUPT4H1	Supt4a
Cell_cycle_G2M_phase	GABPB1	Gabpb1
Cell_cycle_S_phase	FANCA	Fanca
Potassium_ion_channel	KCNK10	Kcnk10
Voltage_gated_ion_channel	KCNA3	Kcna3
Ligand_gated_ion_channels	GRIK2	Grik2
Housekeeping	TBC1D22A	Tbc1d22a
Cell_cycle_G2M_phase	GAS1	Gas1
Cell_cycle_S_phase	FANCI	Fanci
Potassium_ion_channel	KCNK12	Kcnk12
Voltage_gated_ion_channel	KCNA4	Kcna4
Ligand_gated_ion_channels	GRIK3	Grik3
Housekeeping	THUMPD3-AS1	Gt(ROSA)26Sor
Cell_cycle_G2M_phase	GAS2L3	Gas2l3
Cell_cycle_S_phase	FEN1	Fen1
Potassium_ion_channel	KCNK13	Kcnk13
Voltage_gated_ion_channel	KCNA5	Kcna5
Ligand_gated_ion_channels	GRIK4	Grik4
Housekeeping	TSPOAP1-AS1	NA
Cell_cycle_G2M_phase	H2AFX	NA
Cell_cycle_S_phase	GCLM	Gclm
Potassium_ion_channel	KCNK15	Kcnk15
Voltage_gated_ion_channel	KCNA6	Kcna6
Ligand_gated_ion_channels	GRIK5	Grik5
Housekeeping	TUBGCP2	Tubgcp2
Cell_cycle_G2M_phase	HAUS8	Haus8
Cell_cycle_S_phase	GOLGA8A	NA
Potassium_ion_channel	KCNK16	Kcnk16
Voltage_gated_ion_channel	KCNA7	Kcna7
Ligand_gated_ion_channels	GRIN1	Grin1
Housekeeping	VCP	Vcp
Cell_cycle_G2M_phase	HINT3	Hint3
Cell_cycle_S_phase	GOLGA8B	NA
Potassium_ion_channel	KCNK17	NA
Voltage_gated_ion_channel	KCNB1	Kcnb1
Ligand_gated_ion_channels	GRIN2A	Grin2a
Housekeeping	VPS29	Vps29
Cell_cycle_G2M_phase	HIPK2	Hipk2
Cell_cycle_S_phase	H1F0	NA
Potassium_ion_channel	KCNK18	Kcnk18
Voltage_gated_ion_channel	KCNB2	Kcnb2
Ligand_gated_ion_channels	GRIN2B	Grin2b
Housekeeping	WDTC1	Wdtc1
Cell_cycle_G2M_phase	HJURP	Hjurp
Cell_cycle_S_phase	HELLS	Hells
Potassium_ion_channel	KCNK2	Kcnk2
Voltage_gated_ion_channel	KCNC1	Kcnc1
Ligand_gated_ion_channels	GRIN2C	Grin2c
Housekeeping	ZNF544	NA
Cell_cycle_G2M_phase	HMGB2	Hmgb2
Cell_cycle_S_phase	HIST1H2AC	NA
Potassium_ion_channel	KCNK3	Kcnk3
Voltage_gated_ion_channel	KCNC2	Kcnc2
Ligand_gated_ion_channels	GRIN2D	Grin2d
Cell_cycle_G2M_phase	HN1	NA
Cell_cycle_S_phase	HIST1H4C	NA
Potassium_ion_channel	KCNK4	Kcnk4
Voltage_gated_ion_channel	KCNC3	Kcnc3
Ligand_gated_ion_channels	GRIN3A	Grin3a
Cell_cycle_G2M_phase	HP1BP3	Hp1bp3
Cell_cycle_S_phase	INTS7	Ints7
Potassium_ion_channel	KCNK5	Kcnk5
Voltage_gated_ion_channel	KCNC4	Kcnc4
Ligand_gated_ion_channels	GRIN3B	Grin3b
Cell_cycle_G2M_phase	HRSP12	NA
Cell_cycle_S_phase	KAT2A	Kat2a
Potassium_ion_channel	KCNK6	Kcnk6
Voltage_gated_ion_channel	KCND1	Kcnd1
Ligand_gated_ion_channels	HTR3A	Htr3a
Cell_cycle_G2M_phase	IFNAR1	Ifnar1
Cell_cycle_S_phase	KAT2B	Kat2b
Potassium_ion_channel	KCNK7	Kcnk7
Voltage_gated_ion_channel	KCND2	Kcnd2
Ligand_gated_ion_channels	HTR3B	Htr3b
Cell_cycle_G2M_phase	IQGAP3	Iqgap3
Cell_cycle_S_phase	KDELC1	NA
Potassium_ion_channel	KCNK9	Kcnk9
Voltage_gated_ion_channel	KCND3	Kcnd3
Ligand_gated_ion_channels	HTR3C	NA
Cell_cycle_G2M_phase	KATNA1	Katna1
Cell_cycle_S_phase	KIAA1598	NA
Potassium_ion_channel	KCNMA1	Kcnma1
Voltage_gated_ion_channel	KCNF1	Kcnf1
Ligand_gated_ion_channels	HTR3D	NA
Cell_cycle_G2M_phase	KCTD9	Kctd9
Cell_cycle_S_phase	LMO4	Lmo4
Potassium_ion_channel	KCNN1	Kcnn1
Voltage_gated_ion_channel	KCNG1	Kcng1
Ligand_gated_ion_channels	HTR3E	NA
Cell_cycle_G2M_phase	KDM4A	Kdm4a
Cell_cycle_S_phase	LYRM7	Lyrm7
Potassium_ion_channel	KCNN2	Kcnn2
Voltage_gated_ion_channel	KCNG2	Kcng2
Ligand_gated_ion_channels	ITPR1	Itpr1
Cell_cycle_G2M_phase	KIAA1524	NA
Cell_cycle_S_phase	MAN1A2	Man1a2
Potassium_ion_channel	KCNN3	Kcnn3
Voltage_gated_ion_channel	KCNG3	Kcng3
Ligand_gated_ion_channels	ITPR2	Itpr2
Cell_cycle_G2M_phase	KIF11	Kif11
Cell_cycle_S_phase	MAP3K2	Map3k2
Potassium_ion_channel	KCNN4	Kcnn4
Voltage_gated_ion_channel	KCNG4	Kcng4
Ligand_gated_ion_channels	ITPR3	Itpr3
Cell_cycle_G2M_phase	KIF20B	Kif20b
Cell_cycle_S_phase	MASTL	Mastl
Potassium_ion_channel	KCNQ1	Kcnq1
Voltage_gated_ion_channel	KCNH1	Kcnh1
Ligand_gated_ion_channels	P2RX1	P2rx1
Cell_cycle_G2M_phase	KIF22	Kif22
Cell_cycle_S_phase	MBD4	Mbd4
Potassium_ion_channel	KCNQ2	Kcnq2
Voltage_gated_ion_channel	KCNH2	Kcnh2
Ligand_gated_ion_channels	P2RX2	P2rx2
Cell_cycle_G2M_phase	KIF23	Kif23
Cell_cycle_S_phase	MCM8	Mcm8
Potassium_ion_channel	KCNQ3	Kcnq3
Voltage_gated_ion_channel	KCNH3	Kcnh3
Ligand_gated_ion_channels	P2RX3	P2rx3
Cell_cycle_G2M_phase	KIF5B	Kif5b
Cell_cycle_S_phase	MLF1IP	NA
Potassium_ion_channel	KCNQ4	Kcnq4
Voltage_gated_ion_channel	KCNH4	Kcnh4
Ligand_gated_ion_channels	P2RX4	P2rx4
Cell_cycle_G2M_phase	KIFC1	Kifc5b
Cell_cycle_S_phase	MYCBP2	Mycbp2
Potassium_ion_channel	KCNQ5	Kcnq5
Voltage_gated_ion_channel	KCNH5	Kcnh5
Ligand_gated_ion_channels	P2RX5	P2rx5
Cell_cycle_G2M_phase	KLF6	Klf6
Cell_cycle_S_phase	NAB1	Nab1
Potassium_ion_channel	KCNS1	Kcns1
Voltage_gated_ion_channel	KCNH6	Kcnh6
Ligand_gated_ion_channels	P2RX6	P2rx6
Cell_cycle_G2M_phase	KPNA2	Kpna2
Cell_cycle_S_phase	NEAT1	Neat1
Potassium_ion_channel	KCNS2	Kcns2
Voltage_gated_ion_channel	KCNH7	Kcnh7
Ligand_gated_ion_channels	P2RX7	P2rx7
Cell_cycle_G2M_phase	LBR	Lbr
Cell_cycle_S_phase	NFE2L2	Nfe2l2
Potassium_ion_channel	KCNS3	Kcns3
Voltage_gated_ion_channel	KCNH8	Kcnh8
Ligand_gated_ion_channels	RYR1	Ryr1
Cell_cycle_G2M_phase	LIX1L	Lix1l
Cell_cycle_S_phase	NRD1	NA
Potassium_ion_channel	KCNT1	Kcnt1
Voltage_gated_ion_channel	KCNK1	Kcnk1
Ligand_gated_ion_channels	RYR2	Ryr2
Cell_cycle_G2M_phase	LMNB1	Lmnb1
Cell_cycle_S_phase	NSUN3	Nsun3
Potassium_ion_channel	KCNT2	Kcnt2
Voltage_gated_ion_channel	KCNK10	Kcnk10
Ligand_gated_ion_channels	RYR3	Ryr3
Cell_cycle_G2M_phase	MAD2L1	Mad2l1
Cell_cycle_S_phase	NT5DC1	Nt5dc1
Potassium_ion_channel	KCNU1	Kcnu1
Voltage_gated_ion_channel	KCNK12	Kcnk12
Ligand_gated_ion_channels	ZACN	NA
Cell_cycle_G2M_phase	MALAT1	Malat1
Cell_cycle_S_phase	NUP160	Nup160
Potassium_ion_channel	KCNV1	Kcnv1
Voltage_gated_ion_channel	KCNK13	Kcnk13
Cell_cycle_G2M_phase	MELK	Melk
Cell_cycle_S_phase	OGT	Ogt
Potassium_ion_channel	KCNV2	Kcnv2
Voltage_gated_ion_channel	KCNK15	Kcnk15
Cell_cycle_G2M_phase	MGAT2	Mgat2
Cell_cycle_S_phase	ORC3	Orc3
Voltage_gated_ion_channel	KCNK16	Kcnk16
Cell_cycle_G2M_phase	MID1	Mid1
Cell_cycle_S_phase	OSGIN2	Osgin2
Voltage_gated_ion_channel	KCNK17	NA
Cell_cycle_G2M_phase	MIS18BP1	Mis18bp1
Cell_cycle_S_phase	PHIP	Phip
Voltage_gated_ion_channel	KCNK18	Kcnk18
Cell_cycle_G2M_phase	MND1	Mnd1
Cell_cycle_S_phase	PHTF1	Phtf1
Voltage_gated_ion_channel	KCNK2	Kcnk2
Cell_cycle_G2M_phase	NCAPD3	Ncapd3
Cell_cycle_S_phase	PHTF2	Phtf2
Voltage_gated_ion_channel	KCNK3	Kcnk3
Cell_cycle_G2M_phase	NCAPH	Ncaph
Cell_cycle_S_phase	PKMYT1	Pkmyt1
Voltage_gated_ion_channel	KCNK4	Kcnk4
Cell_cycle_G2M_phase	NCOA5	Ncoa5
Cell_cycle_S_phase	POLA1	Pola1
Voltage_gated_ion_channel	KCNK5	Kcnk5
Cell_cycle_G2M_phase	NDC80	Ndc80
Cell_cycle_S_phase	PRIM1	Prim1
Voltage_gated_ion_channel	KCNK6	Kcnk6
Cell_cycle_G2M_phase	NEIL3	Neil3
Cell_cycle_S_phase	PTAR1	Ptar1
Voltage_gated_ion_channel	KCNK7	Kcnk7
Cell_cycle_G2M_phase	NFIC	Nfic
Cell_cycle_S_phase	RAD18	Rad18
Voltage_gated_ion_channel	KCNK9	Kcnk9
Cell_cycle_G2M_phase	NIPBL	Nipbl
Cell_cycle_S_phase	RAD51	Rad51
Voltage_gated_ion_channel	KCNMA1	Kcnma1
Cell_cycle_G2M_phase	NMB	Nmb
Cell_cycle_S_phase	RAD51AP1	Rad51ap1
Voltage_gated_ion_channel	KCNN1	Kcnn1
Cell_cycle_G2M_phase	NR3C1	Nr3c1
Cell_cycle_S_phase	RBBP8	Rbbp8
Voltage_gated_ion_channel	KCNN2	Kcnn2
Cell_cycle_G2M_phase	NUCKS1	Nucks1
Cell_cycle_S_phase	REEP1	Reep1
Voltage_gated_ion_channel	KCNN3	Kcnn3
Cell_cycle_G2M_phase	NUMA1	Numa1
Cell_cycle_S_phase	RFC2	Rfc2
Voltage_gated_ion_channel	KCNN4	Kcnn4
Cell_cycle_G2M_phase	NUSAP1	Nusap1
Cell_cycle_S_phase	RHOBTB3	Rhobtb3
Voltage_gated_ion_channel	KCNQ1	Kcnq1
Cell_cycle_G2M_phase	PIF1	Pif1
Cell_cycle_S_phase	RMI1	Rmi1
Voltage_gated_ion_channel	KCNQ2	Kcnq2
Cell_cycle_G2M_phase	PKNOX1	Pknox1
Cell_cycle_S_phase	RPA2	Rpa2
Voltage_gated_ion_channel	KCNQ3	Kcnq3
Cell_cycle_G2M_phase	POLQ	Polq
Cell_cycle_S_phase	RRM1	Rrm1
Voltage_gated_ion_channel	KCNQ4	Kcnq4
Cell_cycle_G2M_phase	PPP1R2	Ppp1r2
Cell_cycle_S_phase	RRM2	Rrm2
Voltage_gated_ion_channel	KCNQ5	Kcnq5
Cell_cycle_G2M_phase	PSMD11	Psmd11
Cell_cycle_S_phase	RSRC2	Rsrc2
Voltage_gated_ion_channel	KCNS1	Kcns1
Cell_cycle_G2M_phase	PSRC1	Psrc1
Cell_cycle_S_phase	SAP30BP	Sap30bp
Voltage_gated_ion_channel	KCNS2	Kcns2
Cell_cycle_G2M_phase	RANGAP1	Rangap1
Cell_cycle_S_phase	SLC38A2	Slc38a2
Voltage_gated_ion_channel	KCNS3	Kcns3
Cell_cycle_G2M_phase	RCCD1	Rccd1
Cell_cycle_S_phase	SP1	Sp1
Voltage_gated_ion_channel	KCNU1	Kcnu1
Cell_cycle_G2M_phase	RDH11	Rdh11
Cell_cycle_S_phase	SRSF5	Srsf5
Voltage_gated_ion_channel	KCNV1	Kcnv1
Cell_cycle_G2M_phase	RNF141	Rnf141
Cell_cycle_S_phase	SVIP	Svip
Voltage_gated_ion_channel	KCNV2	Kcnv2
Cell_cycle_G2M_phase	SAP30	Sap30
Cell_cycle_S_phase	TOP2A	Top2a
Voltage_gated_ion_channel	MCOLN1	Mcoln1
Cell_cycle_G2M_phase	SKA3	Ska3
Cell_cycle_S_phase	TTC31	NA
Voltage_gated_ion_channel	MCOLN2	Mcoln2
Cell_cycle_G2M_phase	SMC4	Smc4
Cell_cycle_S_phase	TTLL7	Ttll7
Voltage_gated_ion_channel	MCOLN3	Mcoln3
Cell_cycle_G2M_phase	STAT1	Stat1
Cell_cycle_S_phase	TYMS	Tyms
Voltage_gated_ion_channel	PKD2	Pkd2
Cell_cycle_G2M_phase	STIL	Stil
Cell_cycle_S_phase	UBE2T	Ube2t
Voltage_gated_ion_channel	PKD2L1	Pkd2l1
Cell_cycle_G2M_phase	STK17B	Stk17b
Cell_cycle_S_phase	UBL3	Ubl3
Voltage_gated_ion_channel	PKD2L2	Pkd2l2
Cell_cycle_G2M_phase	SUCLG2	Suclg2
Cell_cycle_S_phase	USP1	Usp1
Voltage_gated_ion_channel	SCN10A	Scn10a
Cell_cycle_G2M_phase	TFAP2A	Tfap2a
Cell_cycle_S_phase	ZBED5	Zbed5
Voltage_gated_ion_channel	SCN11A	Scn11a
Cell_cycle_G2M_phase	TIMP1	Timp1
Cell_cycle_S_phase	ZWINT	Zwint
Voltage_gated_ion_channel	SCN1A	Scn1a
Cell_cycle_G2M_phase	TMEM99	NA
Voltage_gated_ion_channel	SCN1B	Scn1b
Cell_cycle_G2M_phase	TMPO	Tmpo
Voltage_gated_ion_channel	SCN2A	Scn2a
Cell_cycle_G2M_phase	TNPO2	Tnpo2
Voltage_gated_ion_channel	SCN2B	Scn2b
Cell_cycle_G2M_phase	TOP2A	Top2a
Voltage_gated_ion_channel	SCN3A	Scn3a
Cell_cycle_G2M_phase	TRAIP	Traip
Voltage_gated_ion_channel	SCN3B	Scn3b
Cell_cycle_G2M_phase	TRIM59	Trim59
Voltage_gated_ion_channel	SCN4A	Scn4a
Cell_cycle_G2M_phase	TRMT2A	Trmt2a
Voltage_gated_ion_channel	SCN4B	Scn4b
Cell_cycle_G2M_phase	TTF2	Ttf2
Voltage_gated_ion_channel	SCN5A	Scn5a
Cell_cycle_G2M_phase	TUBA1A	Tuba1a
Voltage_gated_ion_channel	SCN8A	Scn8a
Cell_cycle_G2M_phase	TUBB	Tubb5
Voltage_gated_ion_channel	SCN9A	Scn9a
Cell_cycle_G2M_phase	TUBB2A	Tubb2a
Voltage_gated_ion_channel	TPCN1	Tpcn1
Cell_cycle_G2M_phase	TUBB4B	Tubb4b
Voltage_gated_ion_channel	TPCN2	Tpcn2
Cell_cycle_G2M_phase	TUBD1	Tubd1
Voltage_gated_ion_channel	TRPA1	Trpa1
Cell_cycle_G2M_phase	UACA	Uaca
Voltage_gated_ion_channel	TRPC1	Trpc1
Cell_cycle_G2M_phase	UBE2C	Ube2c
Voltage_gated_ion_channel	TRPC2	Trpc2
Cell_cycle_G2M_phase	VPS25	Vps25
Voltage_gated_ion_channel	TRPC3	Trpc3
Cell_cycle_G2M_phase	VTA1	Vta1
Voltage_gated_ion_channel	TRPC4	Trpc4
Cell_cycle_G2M_phase	WSB1	Wsb1
Voltage_gated_ion_channel	TRPC5	Trpc5
Cell_cycle_G2M_phase	ZNF587	NA
Voltage_gated_ion_channel	TRPC6	Trpc6
Cell_cycle_G2M_phase	ZNHIT2	Znhit2
Voltage_gated_ion_channel	TRPC7	Trpc7
Voltage_gated_ion_channel	TRPM1	Trpm1
Voltage_gated_ion_channel	TRPM2	Trpm2
Voltage_gated_ion_channel	TRPM3	Trpm3
Voltage_gated_ion_channel	TRPM4	Trpm4
Voltage_gated_ion_channel	TRPM5	Trpm5
Voltage_gated_ion_channel	TRPM6	Trpm6
Voltage_gated_ion_channel	TRPM7	Trpm7
Voltage_gated_ion_channel	TRPM8	Trpm8
Voltage_gated_ion_channel	TRPV1	Trpv1
Voltage_gated_ion_channel	TRPV2	Trpv2
Voltage_gated_ion_channel	TRPV3	Trpv3
Voltage_gated_ion_channel	TRPV4	Trpv4
Voltage_gated_ion_channel	TRPV5	Trpv5
Voltage_gated_ion_channel	TRPV6	Trpv6
